=========================BEGIN==========================
Archiválva 230129.1318: http://web.archive.org/save/https://mandiner.hu/
0. Archiválva 230129.1320: http://web.archive.org/save/https://mandiner.hu/cikk/20230118_ontorvenyu_lazado_hippik_voltunk_unnepi_beszelgetes_a_75_eves_torok_adammal
1. Archiválva 230129.1321: http://web.archive.org/save/https://mandiner.hu/cikk/20230129_bolsevik_kiadvany_az_mcc_miatt_rugtak_ki_az_izraeli_haaretz_jobbos_munkatarsat
2. Archiválva 230129.1322: http://web.archive.org/save/https://mandiner.hu/cikk/20230124_transzparens_ujsagirasert_alapitvany_szalai_szabolcs_index_atv_media_ujsagiras_interju_belfold_belpolitika
3. Archiválva 230129.1323: http://web.archive.org/save/https://mandiner.hu/cikk/20230126_foldi_laszlo_az_oroszok_vegso_elkeseredesukben_nyomhatnak_meg_a_piros_gombot
4. Archiválva 230129.1324: http://web.archive.org/save/https://mandiner.hu/cikk/20230125_nem_annyira_boldog_ausztria
5. Archiválva 230129.1326: http://web.archive.org/save/https://mandiner.hu/cikk/20230124_ukran_menekult_menedekes_statusz_30_ezer
6. Archiválva 230129.1327: http://web.archive.org/save/https://mandiner.hu/cikk/20230125_magyartalanitasba_kezdtek_munkacson
7. Archiválva 230129.1328: http://web.archive.org/save/https://mandiner.hu/cikk/20230128_petr_pavel_cseh_allamfo_portre
8 Hiba itt 230129.1329: https://mandiner.hu/cikk/20230128_itt_a_magyar_kulugy_valasza_az_ukrajnai_magyar_nagykovet_beidezesere
9 Hiba itt 230129.1330: https://mandiner.hu/cikk/20230128_ukrajna_oroszok_megadas_haboru
10. Archiválva 230129.1331: http://web.archive.org/save/https://mandiner.hu/cikk/20230128_szakerto_nagyszabasu_offenzivara_keszulhetnek_az_oroszok
11. Archiválva 230129.1332: http://web.archive.org/save/https://mandiner.hu/cikk/20230128_gulyas_gergely_karpatalja_ukrajna_tisztelet_magyar_kozosseg
12. Archiválva 230129.1333: http://web.archive.org/save/https://mandiner.hu/cikk/20230128_fekete_rendorok_vertek_feketet_meghalt_a_letartoztatott_tuntetesek_tortek_ki_itt_a_video
